,tweet_id,retweet_count,favorite_count
0,892420643555336193,7010,33829
1,892177421306343426,5302,29340
2,891815181378084864,3482,22070
3,891689557279858688,7228,36953
4,891327558926688256,7765,35288
5,891087950875897856,2602,17815
6,890971913173991426,1666,10369
7,890729181411237888,15761,56889
8,890609185150312448,3624,24531
9,890240255349198849,6101,27971
10,890006608113172480,6154,27052
11,889880896479866881,4168,24574
12,889665388333682689,8353,42074
13,889638837579907072,3718,23687
14,889531135344209921,1884,13358
15,889278841981685760,4447,22132
16,888917238123831296,3765,25652
17,888804989199671297,3538,22481
18,888554962724278272,2879,17322
19,888078434458587136,2895,19158
20,887705289381826560,4536,26635
21,887517139158093824,9856,40743
22,887473957103951883,15031,60214
23,887343217045368832,8817,29602
24,887101392804085760,4993,26995
25,886983233522544640,6321,30401
26,886680336477933568,3737,19742
27,886366144734445568,2631,18554
28,886267009285017600,4,105
29,886258384151887873,5293,24536
30,886054160059072513,93,0
31,885984800019947520,5617,28624
32,885528943205470208,5331,31614
33,885518971528720385,3108,18015
34,885311592912609280,15442,0
35,885167619883638784,3670,19267
36,884925521741709313,15032,67315
37,884876753390489601,4676,24393
38,884562892145688576,3913,21334
39,884441805382717440,4793,23874
40,884247878851493888,16931,63344
41,884162670584377345,2506,17948
42,883838122936631299,2865,19180
43,883482846933004288,8274,40221
44,883360690899218434,3084,19961
45,883117836046086144,5538,32527
46,882992080364220416,3248,20993
47,882762694511734784,4099,24808
48,882627270321602560,5064,24612
49,882268110199369728,9636,39213
50,882045870035918850,4084,25740
51,881906580714921986,2855,21453
52,881666595344535552,8964,44575
53,881633300179243008,8,113
54,881536004380872706,13404,43469
55,881268444196462592,4494,20494
56,880935762899988482,2333,15057
57,880872448815771648,3200,18720
58,880465832366813184,5216,25040
59,880221127280381952,3468,23681
60,880095782870896641,3654,24348
61,879862464715927552,2930,19716
62,879674319642796034,9,282
63,879492040517615616,2628,20718
64,879415818425184262,37464,92917
65,879376492567855104,2651,14868
66,879130579576475649,5744,0
67,879050749262655488,3958,19817
68,879008229531029506,2244,16788
69,878776093423087618,3435,17142
70,878604707211726852,5930,26446
71,878404777348136964,1078,0
72,878316110768087041,5531,0
73,878281511006478336,1078,6781
74,878057613040115712,5744,37158
75,877736472329191424,15814,69336
76,877611172832227328,70,0
77,877556246731214848,3170,19909
78,877316821321428993,4348,24166
79,877201837425926144,4629,23876
80,876838120628539392,2805,18222
81,876537666061221889,3975,21052
82,876484053909872640,2002,16576
83,876120275196170240,3905,24698
84,875747767867523072,3584,22123
85,875144289856114688,4160,19426
86,875097192612077568,5118,24253
87,875021211251597312,3974,22560
88,874680097055178752,3919,24611
89,874434818259525634,12218,0
90,874296783580663808,3483,22979
91,874057562936811520,3378,20130
92,874012996292530176,8597,30130
93,873580283840344065,3344,21388
94,873337748698140672,1331,0
95,873213775632977920,1331,6324
96,872967104147763200,4564,24092
97,872820683541237760,3168,13082
98,872620804844003328,3068,18332
99,872486979161796608,7722,36113
100,872122724285648897,6833,30248
101,871879754684805121,9250,33126
102,871762521631449091,2970,17899
103,871515927908634625,2942,17898
104,871166179821445120,4896,0
105,871102520638267392,4685,18558
106,871032628920680449,3227,20170
107,870804317367881728,5284,29817
108,870726314365509632,3,105
109,870656317836468226,2210,10899
110,870374049280663552,22761,73986
111,870308999962521604,3550,19492
112,870063196459192321,7078,32439
113,869772420881756160,8699,38041
114,869702957897576449,5388,25078
115,869596645499047938,2640,14219
116,869227993411051520,3201,18150
117,868880397819494401,12266,58018
118,868639477480148993,1754,0
119,868622495443632128,4474,23655
120,868552278524837888,1754,8972
121,867900495410671616,3574,21618
122,867774946302451713,6258,30288
123,867421006826221569,2118,14356
124,867072653475098625,101,0
125,867051520902168576,6792,28727
126,866720684873056260,4133,17882
127,866686824827068416,2973,17145
128,866450705531457537,30222,108950
129,866334964761202691,12218,46652
130,866094527597207552,7172,0
131,865718153858494464,4853,22948
132,865359393868664832,4295,23627
133,865006731092295680,6677,25056
134,864873206498414592,7498,28881
135,864279568663928832,2585,13079
136,864197398364647424,7594,26657
137,863907417377173506,3594,18458
138,863553081350529029,3635,13691
139,863471782782697472,2092,0
140,863432100342583297,4561,21324
141,863427515083354112,80,1961
142,863079547188785154,953,7911
143,863062471531167744,2092,7532
144,862831371563274240,4461,17229
145,862722525377298433,3091,15348
146,862457590147678208,4258,18297
147,862096992088072192,20017,66361
148,861383897657036800,9275,32322
149,861288531465048066,3594,15363
150,861005113778896900,3340,15004
151,860981674716409858,1858,0
152,860924035999428608,679,0
153,860563773140209665,1858,6732
154,860524505164394496,4608,21280
155,860276583193509888,3075,16597
156,860184849394610176,5129,15032
157,860177593139703809,26778,0
158,859924526012018688,3587,17655
159,859851578198683649,3072,13987
160,859607811541651456,1366,16848
161,859196978902773760,26304,80637
162,859074603037188101,11982,30463
163,858860390427611136,7091,0
164,858843525470990336,3029,14135
165,858471635011153920,4267,19509
166,858107933456039936,2540,14255
167,857989990357356544,2269,14503
168,857746408056729600,9360,30842
169,857393404942143489,1444,5315
170,857263160327368704,3986,18273
171,857214891891077121,16,204
172,857062103051644929,148,0
173,857029823797047296,3493,17064
174,856543823941562368,2551,14853
175,856526610513747968,1654,10833
176,856288084350160898,15,488
177,856282028240666624,5586,25267
178,855862651834028034,21,303
179,855860136149123072,853,4412
180,855857698524602368,1864,10868
181,855851453814013952,16143,41929
182,855818117272018944,4820,24297
183,855459453768019968,7313,27133
184,855245323840757760,5274,0
185,855138241867124737,36,0
186,854732716440526848,5362,20712
187,854482394044301312,6035,26619
188,854365224396361728,4157,17226
189,854120357044912130,6602,29268
190,854010172552949760,2797,14848
191,853760880890318849,5118,26119
192,853639147608842240,8892,31594
193,853299958564483072,3174,14188
194,852936405516943360,1790,0
195,852912242202992640,1602,8266
196,852672615818899456,1915,13662
197,852311364735569921,8890,30399
198,852226086759018497,6104,18372
199,852189679701164033,1420,10581
200,851591660324737024,3129,14982
201,851464819735769094,6323,22295
202,851224888060895234,5178,19074
203,850753642995093505,8097,28193
